Kamer,Datum,Dier,Aantal
opstaan,2022-06-01,spin,1
opstaan,2022-07-27,spin,4
opstaan,2022-07-27,mug,1
opstaan,2022-06-01,vlieg,1
opstaan,2022-07-27,kleermot,2
opstaan,2022-09-28,spin,5
opstaan,2022-09-28,mot,17
opstaan,2022-09-28,vlieg,2
geboorte,2022-05-04,kleermot,2
geboorte,2022-06-01,kleermot,4
geboorte,2022-07-27,kleermot,4
geboorte,2022-09-28,mot,10
verhuizen,2022-06-01,spin,1
verhuizen,2022-06-01,vlieg,1
verhuizen,2022-07-27,spin,3
verhuizen,2022-09-28,spin,3
rustdag,2022-06-01,vlieg,2
rustdag,2022-07-27,fruitvlieg,1
rustdag,2022-07-27,spin,4
rustdag,2022-07-27,vliegende mier,1
rustdag,2022-09-28,spin,8
(on)geluk,2022-06-01,vlieg,1
(on)geluk,2022-09-28,spin,2
ouder,2022-05-04,fruitvlieg,2
ouder,2022-09-28,spin,1
ouder,2022-09-28,vlieg,1
rouwen,2022-06-01,mot,2
rouwen,2022-07-27,mot,4
rouwen,2022-09-28,mot,7
trappenhal,2022-06-01,spin,1
trappenhal,2022-07-27,mot,1
jong,2022-06-01,fruitvlieg,1
jong,2022-06-01,spin,1
jong,2022-06-01,mot,7
jong,2022-07-27,pissebed,1
jong,2022-07-27,mot,1
jong,2022-07-27,vlieg,2
jong,2022-07-27,kleermot,12
jong,2022-09-28,spin,2
jong,2022-09-28,mot,25
vakantie,2022-06-01,vlieg,1
vakantie,2022-06-01,mot,4
vakantie,2022-07-27,vlieg,2
vakantie,2022-07-27,kleermot,21
vakantie,2022-09-28,mot,7
school,2022-05-04,spin,1
school,2022-06-01,spin,2
school,2022-07-27,spin,3
school,2022-07-27,vlieg,3
school,2022-09-28,spin,2
trouw,2022-06-01,vlieg,1
trouw,2022-07-27,vlieg,1
trouw,2022-09-28,spin,2
avond,2022-07-27,spin,2
avond,2022-07-27,vlieg,1
avond,2022-09-28,spin,2
avond,2022-09-28,vlieg,1
huishouden,2022-07-27,vlieg,1
huishouden,2022-09-28,spin,2
huishouden,2022-09-28,mug,1
spelen,2022-05-04,pissebed,1
spelen,2022-07-27,spin,1
spelen,2022-09-28,spin,4
spelen,2022-09-28,mug,1
